,Brand,Model,Price,BrandMdlID
458,Mercedes-Benz,E63,252888.0,675
2,Aston,Martin,255347.25,676
132,Ferrari,612,259880.0,677
590,Porsche,Taycan,262376.0,678
462,Mercedes-Benz,EQS53,268800.0,679
134,Ferrari,California,279990.0,680
102,Bentley,Continental,282406.85714285716,681
584,Porsche,911,287444.9285714286,682
264,Isuzu,FYX,293131.0,683
74,BMW,8,294900.0,684
421,Mercedes-Benz,AMG,297882.6666666667,685
273,Iveco,Stralis,299585.6666666667,686
406,McLaren,540C,299900.0,687
103,Bentley,Mulsanne,301795.0,688
16,Audi,R8,304600.0,689
107,Chevrolet,Corvette,304950.0,690
135,Ferrari,F430,329900.0,691
603,Rolls-Royce,Ghost,329990.0,692
407,McLaren,570S,341944.0,693
505,Mercedes-Benz,Maybach,352194.0,694
